channel_1,channel_2,time,timestamp
1.820010351562500000e+04,6.265346679687500000e+03,0.000000000000000000e+00,8.398588064760000270e+04
1.954441601562500000e+04,6.904757812500000000e+03,1.000000000000000000e+00,8.398588179010000022e+04
1.954493359375000000e+04,6.907479492187500000e+03,2.000000000000000000e+00,8.398588376280000375e+04
1.953700976562500000e+04,6.893618164062500000e+03,3.000000000000000000e+00,8.398588575719999790e+04
1.952012500000000000e+04,6.879479492187500000e+03,4.000000000000000000e+00,8.398588779839999916e+04
1.952585742187500000e+04,6.871025390625000000e+03,5.000000000000000000e+00,8.398588985920000414e+04
1.952951953125000000e+04,6.873289550781250000e+03,6.000000000000000000e+00,8.398589175989999785e+04
1.954474218750000000e+04,6.893714355468750000e+03,7.000000000000000000e+00,8.398589376819999598e+04
1.955324414062500000e+04,6.910177246093750000e+03,8.000000000000000000e+00,8.398589577509999799e+04
1.956844140625000000e+04,6.930385253906250000e+03,9.000000000000000000e+00,8.398589774790000229e+04
1.957826953125000000e+04,6.949160156250000000e+03,1.000000000000000000e+01,8.398589973930000269e+04
1.957700390625000000e+04,6.939417480468750000e+03,1.100000000000000000e+01,8.398590184439999575e+04
1.956717773437500000e+04,6.915644531250000000e+03,1.200000000000000000e+01,8.398590395680000074e+04
1.956319140625000000e+04,6.899555175781250000e+03,1.300000000000000000e+01,8.398590576039999723e+04
1.954180273437500000e+04,6.877070800781250000e+03,1.400000000000000000e+01,8.398592188379999425e+04
1.952931445312500000e+04,6.869616210937500000e+03,1.500000000000000000e+01,8.398592371820000699e+04
1.953038671875000000e+04,6.862559082031250000e+03,1.600000000000000000e+01,8.398592572860000655e+04
1.954754687500000000e+04,6.875252441406250000e+03,1.700000000000000000e+01,8.398592767360000289e+04
1.955417187500000000e+04,6.886211425781250000e+03,1.800000000000000000e+01,8.398592985420000332e+04
1.956036132812500000e+04,6.900265625000000000e+03,1.900000000000000000e+01,8.398593171570000413e+04
1.957816015625000000e+04,6.916186523437500000e+03,2.000000000000000000e+01,8.398593371339999430e+04
1.956951367187500000e+04,6.925471679687500000e+03,2.100000000000000000e+01,8.398593580979999388e+04
1.956427539062500000e+04,6.921533691406250000e+03,2.200000000000000000e+01,8.398593772380000155e+04
1.954898046875000000e+04,6.907611816406250000e+03,2.300000000000000000e+01,8.398593965220000246e+04
1.954042968750000000e+04,6.890522949218750000e+03,2.400000000000000000e+01,8.398594166599999880e+04
1.953872070312500000e+04,6.873253417968750000e+03,2.500000000000000000e+01,8.398594372510000539e+04
1.953645507812500000e+04,6.862522949218750000e+03,2.600000000000000000e+01,8.398594566209999903e+04
1.954058593750000000e+04,6.874626464843750000e+03,2.700000000000000000e+01,8.398594759090000298e+04
1.952353320312500000e+04,6.884609863281250000e+03,2.800000000000000000e+01,8.398594961280000280e+04
1.955516992187500000e+04,6.907045898437500000e+03,2.900000000000000000e+01,8.398595163189999585e+04
1.957089843750000000e+04,6.922701660156250000e+03,3.000000000000000000e+01,8.398595362780000141e+04
1.957891992187500000e+04,6.940067871093750000e+03,3.100000000000000000e+01,8.398595578560000286e+04
1.957356054687500000e+04,6.928566894531250000e+03,3.200000000000000000e+01,8.398595759789999283e+04
1.956393750000000000e+04,6.923364257812500000e+03,3.300000000000000000e+01,8.398595962409999629e+04
1.954645117187500000e+04,6.906503906250000000e+03,3.400000000000000000e+01,8.398596161280000524e+04
1.952916992187500000e+04,6.879828613281250000e+03,3.500000000000000000e+01,8.398596354529999371e+04
1.951151562500000000e+04,6.871073730468750000e+03,3.600000000000000000e+01,8.398596483759999683e+04
1.952631640625000000e+04,6.880611816406250000e+03,3.700000000000000000e+01,8.398596600090000720e+04
1.952964062500000000e+04,6.883803222656250000e+03,3.800000000000000000e+01,8.398596794329999830e+04
1.954615039062500000e+04,6.898772460937500000e+03,3.900000000000000000e+01,8.398596985939999286e+04
1.957098242187500000e+04,6.917559570312500000e+03,4.000000000000000000e+01,8.398597185539999919e+04
1.960013867187500000e+04,6.927097656250000000e+03,4.100000000000000000e+01,8.398597381979999773e+04
1.959161328125000000e+04,6.923051269531250000e+03,4.200000000000000000e+01,8.398597587379999459e+04
1.957935351562500000e+04,6.931445312500000000e+03,4.300000000000000000e+01,8.398597783289999643e+04
1.958530273437500000e+04,6.940802734375000000e+03,4.400000000000000000e+01,8.398597980250000546e+04
1.956133593750000000e+04,6.945764160156250000e+03,4.500000000000000000e+01,8.398598096620000433e+04
1.953371093750000000e+04,6.943873535156250000e+03,4.600000000000000000e+01,8.398598282740000286e+04
1.952624414062500000e+04,6.924002441406250000e+03,4.700000000000000000e+01,8.398598496030000388e+04
1.950914257812500000e+04,6.852467285156250000e+03,4.800000000000000000e+01,8.398598681919999945e+04
1.951383984375000000e+04,6.850913574218750000e+03,4.900000000000000000e+01,8.398598879790000501e+04
1.953012109375000000e+04,6.876830078125000000e+03,5.000000000000000000e+01,8.398599078360000567e+04
1.956110742187500000e+04,6.912333007812500000e+03,5.100000000000000000e+01,8.398599283249999280e+04
1.955396679687500000e+04,6.928506835937500000e+03,5.200000000000000000e+01,8.398599493080000684e+04
1.955775976562500000e+04,6.902782714843750000e+03,5.300000000000000000e+01,8.398599678780000249e+04
1.954052734375000000e+04,6.883272949218750000e+03,5.400000000000000000e+01,8.398599883199999749e+04
1.951546484375000000e+04,6.857055664062500000e+03,5.500000000000000000e+01,8.398600071399999433e+04
1.950545703125000000e+04,6.857031250000000000e+03,5.600000000000000000e+01,8.398600304510000569e+04
1.950538476562500000e+04,6.874529785156250000e+03,5.700000000000000000e+01,8.398600481309999304e+04
1.951650000000000000e+04,6.900904296875000000e+03,5.800000000000000000e+01,8.398600668849999784e+04
1.953397460937500000e+04,6.917547363281250000e+03,5.900000000000000000e+01,8.398600874259999546e+04
1.953870898437500000e+04,6.918209960937500000e+03,6.000000000000000000e+01,8.398601079909999680e+04
1.955440039062500000e+04,6.901662597656250000e+03,6.100000000000000000e+01,8.398601269770000363e+04
1.957165820312500000e+04,6.884622070312500000e+03,6.200000000000000000e+01,8.398601387589999649e+04
1.957872656250000000e+04,6.902457519531250000e+03,6.300000000000000000e+01,8.398601571350000449e+04
1.956975585937500000e+04,6.893931152343750000e+03,6.400000000000000000e+01,8.398601771450000524e+04
1.953633593750000000e+04,6.876793945312500000e+03,6.500000000000000000e+01,8.398601971009999397e+04
1.953420312500000000e+04,6.879744628906250000e+03,6.600000000000000000e+01,8.398602183719999448e+04
1.950956445312500000e+04,6.859391601562500000e+03,6.700000000000000000e+01,8.398602366849999817e+04
1.951609179687500000e+04,6.888030273437500000e+03,6.800000000000000000e+01,8.398602569120000408e+04
1.953566210937500000e+04,6.896026855468750000e+03,6.900000000000000000e+01,8.398602765190000355e+04
1.953727539062500000e+04,6.908250488281250000e+03,7.000000000000000000e+01,8.398602974680000625e+04
1.955654296875000000e+04,6.922990722656250000e+03,7.100000000000000000e+01,8.398603165000000445e+04
1.957707617187500000e+04,6.916162597656250000e+03,7.200000000000000000e+01,8.398603379060000589e+04
1.955560351562500000e+04,6.897435546875000000e+03,7.300000000000000000e+01,8.398603562229999807e+04
1.953289062500000000e+04,6.888018066406250000e+03,7.400000000000000000e+01,8.398603769749999628e+04
1.953075976562500000e+04,6.881996582031250000e+03,7.500000000000000000e+01,8.398603964800000540e+04
1.952719531250000000e+04,6.873710937500000000e+03,7.600000000000000000e+01,8.398604160189999675e+04
1.952131835937500000e+04,6.868062988281250000e+03,7.700000000000000000e+01,8.398604363539999758e+04
1.951851171875000000e+04,6.879611816406250000e+03,7.800000000000000000e+01,8.398604561240000476e+04
1.952252148437500000e+04,6.884766601562500000e+03,7.900000000000000000e+01,8.398604674289999821e+04
1.954144140625000000e+04,6.898736328125000000e+03,8.000000000000000000e+01,8.398604858839999360e+04
1.956272265625000000e+04,6.920425781250000000e+03,8.100000000000000000e+01,8.398605063880000671e+04
1.958308593750000000e+04,6.932239746093750000e+03,8.200000000000000000e+01,8.398605260209999688e+04
1.958856640625000000e+04,6.931047851562500000e+03,8.300000000000000000e+01,8.398605496490000223e+04
1.957477734375000000e+04,6.916487792968750000e+03,8.400000000000000000e+01,8.398605659680000099e+04
1.957854687500000000e+04,6.913139648437500000e+03,8.500000000000000000e+01,8.398605861380000715e+04
1.955264257812500000e+04,6.889957031250000000e+03,8.600000000000000000e+01,8.398606056349999562e+04
1.953434765625000000e+04,6.874590332031250000e+03,8.700000000000000000e+01,8.398606171389999508e+04
1.955606250000000000e+04,6.885513183593750000e+03,8.800000000000000000e+01,8.398606356559999404e+04
1.955874804687500000e+04,6.906070312500000000e+03,8.900000000000000000e+01,8.398606562850000046e+04
1.956058984375000000e+04,6.928687500000000000e+03,9.000000000000000000e+01,8.398606755290000001e+04
1.956128906250000000e+04,6.958144531250000000e+03,9.100000000000000000e+01,8.398606965099999798e+04
1.957757031250000000e+04,6.958891113281250000e+03,9.200000000000000000e+01,8.398607176449999679e+04
1.956315625000000000e+04,6.921461425781250000e+03,9.300000000000000000e+01,8.398607360119999794e+04
1.956171093750000000e+04,6.911610351562500000e+03,9.400000000000000000e+01,8.398607571489999827e+04
1.953843164062500000e+04,6.901939941406250000e+03,9.500000000000000000e+01,8.398607771500000672e+04
1.952490625000000000e+04,6.872952148437500000e+03,9.600000000000000000e+01,8.398607973290000518e+04
1.952040234375000000e+04,6.869845214843750000e+03,9.700000000000000000e+01,8.398608167860000685e+04
1.951039453125000000e+04,6.852406738281250000e+03,9.800000000000000000e+01,8.398608360110000649e+04
1.951593554687500000e+04,6.891197265625000000e+03,9.900000000000000000e+01,8.398608587609999813e+04
1.952648437500000000e+04,6.915752929687500000e+03,1.000000000000000000e+02,8.398608767340000486e+04
1.951479101562500000e+04,6.884356933593750000e+03,1.010000000000000000e+02,8.398608951649999653e+04
1.953979101562500000e+04,6.913669433593750000e+03,1.020000000000000000e+02,8.398609162920000381e+04
1.956399804687500000e+04,6.927206054687500000e+03,1.030000000000000000e+02,8.398609345630000462e+04
1.954053906250000000e+04,6.918595214843750000e+03,1.040000000000000000e+02,8.398609545470000012e+04
1.952129296875000000e+04,6.903469238281250000e+03,1.050000000000000000e+02,8.398609763770000427e+04
1.950110937500000000e+04,6.860210937500000000e+03,1.060000000000000000e+02,8.398609947410000314e+04
1.949732812500000000e+04,6.863064941406250000e+03,1.070000000000000000e+02,8.398610144030000083e+04
1.948320117187500000e+04,6.847770507812500000e+03,1.080000000000000000e+02,8.398610357809999550e+04
1.950283203125000000e+04,6.868857421875000000e+03,1.090000000000000000e+02,8.398610544559999835e+04
1.951057617187500000e+04,6.877143066406250000e+03,1.100000000000000000e+02,8.398610662710000179e+04
1.951781250000000000e+04,6.883574218750000000e+03,1.110000000000000000e+02,8.398610846600000514e+04
1.954563281250000000e+04,6.896303710937500000e+03,1.120000000000000000e+02,8.398611043529999733e+04
1.955407421875000000e+04,6.911453613281250000e+03,1.130000000000000000e+02,8.398611159620000399e+04
1.957145312500000000e+04,6.906949707031250000e+03,1.140000000000000000e+02,8.398611345289999736e+04
1.954289843750000000e+04,6.880804199218750000e+03,1.150000000000000000e+02,8.398611455610000121e+04
1.953561328125000000e+04,6.867857910156250000e+03,1.160000000000000000e+02,8.398611644090000482e+04
1.951073242187500000e+04,6.846192871093750000e+03,1.170000000000000000e+02,8.398611843960000260e+04
1.951339453125000000e+04,6.846204589843750000e+03,1.180000000000000000e+02,8.398611959180000122e+04
1.953762500000000000e+04,6.880503417968750000e+03,1.190000000000000000e+02,8.398612156080000568e+04
1.954079101562500000e+04,6.884224609375000000e+03,1.200000000000000000e+02,8.398612341529999685e+04
1.955884375000000000e+04,6.898062011718750000e+03,1.210000000000000000e+02,8.398612540400000580e+04
1.955472460937500000e+04,6.917125976562500000e+03,1.220000000000000000e+02,8.398612746560000232e+04
1.956241992187500000e+04,6.918414550781250000e+03,1.230000000000000000e+02,8.398612940649999655e+04
1.956741796875000000e+04,6.929879394531250000e+03,1.240000000000000000e+02,8.398613138459999755e+04
1.955599023437500000e+04,6.914548828125000000e+03,1.250000000000000000e+02,8.398613260630000150e+04
1.952983203125000000e+04,6.891185546875000000e+03,1.260000000000000000e+02,8.398613440759999503e+04
1.951554882812500000e+04,6.876179687500000000e+03,1.270000000000000000e+02,8.398613642789999722e+04
1.951730859375000000e+04,6.870880859375000000e+03,1.280000000000000000e+02,8.398613846159999957e+04
1.950539648437500000e+04,6.864546386718750000e+03,1.290000000000000000e+02,8.398614042500000505e+04
1.951589843750000000e+04,6.868845703125000000e+03,1.300000000000000000e+02,8.398614163240000198e+04
1.952243750000000000e+04,6.888041992187500000e+03,1.310000000000000000e+02,8.398614355890000297e+04
1.954953515625000000e+04,6.899856445312500000e+03,1.320000000000000000e+02,8.398614549749999424e+04
1.955525585937500000e+04,6.917102050781250000e+03,1.330000000000000000e+02,8.398614743690000614e+04
1.955648437500000000e+04,6.926627929687500000e+03,1.340000000000000000e+02,8.398614954509999370e+04
1.955130468750000000e+04,6.897953613281250000e+03,1.350000000000000000e+02,8.398615154190000612e+04
1.953780468750000000e+04,6.883718750000000000e+03,1.360000000000000000e+02,8.398615342709999823e+04
1.952765234375000000e+04,6.856188476562500000e+03,1.370000000000000000e+02,8.398615550569999323e+04
1.952584570312500000e+04,6.850154785156250000e+03,1.380000000000000000e+02,8.398615731799999776e+04
1.951325000000000000e+04,6.848998535156250000e+03,1.390000000000000000e+02,8.398615952739999921e+04
1.951783789062500000e+04,6.864678710937500000e+03,1.400000000000000000e+02,8.398616158319999522e+04
1.952396679687500000e+04,6.879034179687500000e+03,1.410000000000000000e+02,8.398616335109999636e+04
1.952826757812500000e+04,6.902012207031250000e+03,1.420000000000000000e+02,8.398616562600000179e+04
1.954006835937500000e+04,6.907768554687500000e+03,1.430000000000000000e+02,8.398616735600000538e+04
1.956063867187500000e+04,6.923978515625000000e+03,1.440000000000000000e+02,8.398616938779999327e+04
1.955526757812500000e+04,6.921365234375000000e+03,1.450000000000000000e+02,8.398617142670000612e+04
1.954543945312500000e+04,6.914235839843750000e+03,1.460000000000000000e+02,8.398617332620000525e+04
1.952444921875000000e+04,6.891992187500000000e+03,1.470000000000000000e+02,8.398617549490000238e+04
1.952189648437500000e+04,6.875842773437500000e+03,1.480000000000000000e+02,8.398617676190000202e+04
1.952046289062500000e+04,6.852009277343750000e+03,1.490000000000000000e+02,8.398617875429999549e+04
1.952942382812500000e+04,6.863305664062500000e+03,1.500000000000000000e+02,8.398618090150000353e+04
1.954615039062500000e+04,6.878660644531250000e+03,1.510000000000000000e+02,8.398618268250000256e+04
1.953572070312500000e+04,6.897881347656250000e+03,1.520000000000000000e+02,8.398618378969999321e+04
1.955182226562500000e+04,6.911501953125000000e+03,1.530000000000000000e+02,8.398618588950000412e+04
