channel_1,channel_2,time,timestamp
1.822257617187500000e+04,6.031242675781250000e+03,0.000000000000000000e+00,8.438007010989999981e+04
2.074591015625000000e+04,6.868146972656250000e+03,1.000000000000000000e+00,8.438007208650000393e+04
2.074222460937500000e+04,6.857513183593750000e+03,2.000000000000000000e+00,8.438007408560000476e+04
2.074694531250000000e+04,6.859512207031250000e+03,3.000000000000000000e+00,8.438007606130000204e+04
2.074316406250000000e+04,6.866629882812500000e+03,4.000000000000000000e+00,8.438007805850000295e+04
2.078614648437500000e+04,6.887138671875000000e+03,5.000000000000000000e+00,8.438008009479999600e+04
2.080995507812500000e+04,6.921569824218750000e+03,6.000000000000000000e+00,8.438008216689999972e+04
2.081165234375000000e+04,6.929662597656250000e+03,7.000000000000000000e+00,8.438008415080000123e+04
2.079973046875000000e+04,6.926254394531250000e+03,8.000000000000000000e+00,8.438008606519999739e+04
2.078426757812500000e+04,6.916403320312500000e+03,9.000000000000000000e+00,8.438008813750000263e+04
2.078308789062500000e+04,6.907034179687500000e+03,1.000000000000000000e+01,8.438009006119999685e+04
2.078187109375000000e+04,6.883489746093750000e+03,1.100000000000000000e+01,8.438009230760000355e+04
2.077764453125000000e+04,6.873614746093750000e+03,1.200000000000000000e+01,8.438009429779999482e+04
2.077878710937500000e+04,6.874204589843750000e+03,1.300000000000000000e+01,8.438009641209999972e+04
2.079940625000000000e+04,6.884814453125000000e+03,1.400000000000000000e+01,8.438009835230000317e+04
2.080930468750000000e+04,6.900061035156250000e+03,1.500000000000000000e+01,8.438011445330000424e+04
2.082838085937500000e+04,6.929434082031250000e+03,1.600000000000000000e+01,8.438011633479999728e+04
2.083887109375000000e+04,6.943379882812500000e+03,1.700000000000000000e+01,8.438011826970000402e+04
2.083523242187500000e+04,6.944945312500000000e+03,1.800000000000000000e+01,8.438012023230000341e+04
2.082641796875000000e+04,6.932625488281250000e+03,1.900000000000000000e+01,8.438012225689999468e+04
2.080009179687500000e+04,6.910923828125000000e+03,2.000000000000000000e+01,8.438012443799999892e+04
2.076983984375000000e+04,6.885344726562500000e+03,2.100000000000000000e+01,8.438012626780000573e+04
2.075785742187500000e+04,6.863691406250000000e+03,2.200000000000000000e+01,8.438012845170000219e+04
2.076398632812500000e+04,6.862426757812500000e+03,2.300000000000000000e+01,8.438013038909999887e+04
2.077368164062500000e+04,6.883225097656250000e+03,2.400000000000000000e+01,8.438013250510000216e+04
2.078784375000000000e+04,6.905432128906250000e+03,2.500000000000000000e+01,8.438013420440000482e+04
2.079384179687500000e+04,6.926893066406250000e+03,2.600000000000000000e+01,8.438013642999999865e+04
2.081007617187500000e+04,6.925182617187500000e+03,2.700000000000000000e+01,8.438013838750000286e+04
2.082960937500000000e+04,6.911863281250000000e+03,2.800000000000000000e+01,8.438014042670000345e+04
2.083077734375000000e+04,6.906612304687500000e+03,2.900000000000000000e+01,8.438014221079999697e+04
2.081998632812500000e+04,6.896038574218750000e+03,3.000000000000000000e+01,8.438014428940000653e+04
2.081019531250000000e+04,6.889438964843750000e+03,3.100000000000000000e+01,8.438014615050000430e+04
2.077804101562500000e+04,6.863402343750000000e+03,3.200000000000000000e+01,8.438014830939999956e+04
2.075095703125000000e+04,6.830187500000000000e+03,3.300000000000000000e+01,8.438015018179999606e+04
2.075253320312500000e+04,6.861644042968750000e+03,3.400000000000000000e+01,8.438015211460000137e+04
2.076758789062500000e+04,6.913151855468750000e+03,3.500000000000000000e+01,8.438015330659999745e+04
2.079198632812500000e+04,6.949040039062500000e+03,3.600000000000000000e+01,8.438015520730000571e+04
2.080103125000000000e+04,6.967357421875000000e+03,3.700000000000000000e+01,8.438015709009999409e+04
2.082603320312500000e+04,6.984892089843750000e+03,3.800000000000000000e+01,8.438015835339999467e+04
2.081669921875000000e+04,6.953351562500000000e+03,3.900000000000000000e+01,8.438016035970000667e+04
2.079207031250000000e+04,6.939261230468750000e+03,4.000000000000000000e+01,8.438016217460000189e+04
2.078820507812500000e+04,6.935539550781250000e+03,4.100000000000000000e+01,8.438016427199999453e+04
2.076597460937500000e+04,6.956133300781250000e+03,4.200000000000000000e+01,8.438016619269999501e+04
2.076157812500000000e+04,6.914259765625000000e+03,4.300000000000000000e+01,8.438016808889999811e+04
2.074723437500000000e+04,6.822419921875000000e+03,4.400000000000000000e+01,8.438016928450000705e+04
2.075223242187500000e+04,6.822010253906250000e+03,4.500000000000000000e+01,8.438017110560000583e+04
2.077416406250000000e+04,6.850769042968750000e+03,4.600000000000000000e+01,8.438017310889999499e+04
2.079564843750000000e+04,6.888873046875000000e+03,4.700000000000000000e+01,8.438017516359999718e+04
2.080878710937500000e+04,6.903083984375000000e+03,4.800000000000000000e+01,8.438017622969999502e+04
2.081344726562500000e+04,6.900133300781250000e+03,4.900000000000000000e+01,8.438017730409999785e+04
2.079267382812500000e+04,6.890763671875000000e+03,5.000000000000000000e+01,8.438017904859999544e+04
2.078853125000000000e+04,6.869785156250000000e+03,5.100000000000000000e+01,8.438018115790000593e+04
2.075747265625000000e+04,6.846312988281250000e+03,5.200000000000000000e+01,8.438018323389999568e+04
2.074917382812500000e+04,6.849083007812500000e+03,5.300000000000000000e+01,8.438018506760000309e+04
2.075457031250000000e+04,6.855417480468750000e+03,5.400000000000000000e+01,8.438018620320000628e+04
2.075216015625000000e+04,6.857802246093750000e+03,5.500000000000000000e+01,8.438018805470000370e+04
2.077707812500000000e+04,6.881539062500000000e+03,5.600000000000000000e+01,8.438019010209999396e+04
