channel_1,channel_2,time,timestamp
1.188770605468750000e+04,4.090862548828125000e+03,0.000000000000000000e+00,8.427963766360000591e+04
2.104904492187500000e+04,7.204219238281250000e+03,1.000000000000000000e+00,8.427963949289999437e+04
2.104776757812500000e+04,7.178711914062500000e+03,2.000000000000000000e+00,8.427964145229999849e+04
2.106159375000000000e+04,7.188310058593750000e+03,3.000000000000000000e+00,8.427964342639999813e+04
2.108071875000000000e+04,7.192031738281250000e+03,4.000000000000000000e+00,8.427964542149999761e+04
2.110882617187500000e+04,7.210891113281250000e+03,5.000000000000000000e+00,8.427964755080000032e+04
2.111004296875000000e+04,7.227257324218750000e+03,6.000000000000000000e+00,8.427964940090000164e+04
2.112451757812500000e+04,7.241793457031250000e+03,7.000000000000000000e+00,8.427965043199999491e+04
2.111482421875000000e+04,7.234374511718750000e+03,8.000000000000000000e+00,8.427965242240000225e+04
2.109368750000000000e+04,7.232953613281250000e+03,9.000000000000000000e+00,8.427965443320000486e+04
2.108365625000000000e+04,7.212841796875000000e+03,1.000000000000000000e+01,8.427965656829999352e+04
2.106223242187500000e+04,7.193295898437500000e+03,1.100000000000000000e+01,8.427965838029999577e+04
2.104491406250000000e+04,7.175652832031250000e+03,1.200000000000000000e+01,8.427965954049999709e+04
2.105001953125000000e+04,7.194981933593750000e+03,1.300000000000000000e+01,8.427966165799999726e+04
2.106620703125000000e+04,7.221801757812500000e+03,1.400000000000000000e+01,8.427966358300000138e+04
2.108679882812500000e+04,7.210891113281250000e+03,1.500000000000000000e+01,8.427968023179999727e+04
2.112733593750000000e+04,7.238336914062500000e+03,1.600000000000000000e+01,8.427968137120000029e+04
2.116587304687500000e+04,7.261314941406250000e+03,1.700000000000000000e+01,8.427968337840000459e+04
2.118068750000000000e+04,7.285750000000000000e+03,1.800000000000000000e+01,8.427968534169999475e+04
2.115626367187500000e+04,7.287159179687500000e+03,1.900000000000000000e+01,8.427968735769999330e+04
2.112745703125000000e+04,7.281595214843750000e+03,2.000000000000000000e+01,8.427968955150000693e+04
2.104957421875000000e+04,7.214756835937500000e+03,2.100000000000000000e+01,8.427969149440000183e+04
2.101700976562500000e+04,7.152265625000000000e+03,2.200000000000000000e+01,8.427969329389999621e+04
2.104087890625000000e+04,7.173353027343750000e+03,2.300000000000000000e+01,8.427969444200000726e+04
2.104120507812500000e+04,7.219898925781250000e+03,2.400000000000000000e+01,8.427969556079999893e+04
2.107711718750000000e+04,7.264506347656250000e+03,2.500000000000000000e+01,8.427969736689999991e+04
2.112086914062500000e+04,7.288592285156250000e+03,2.600000000000000000e+01,8.427969952120000380e+04
2.112655273437500000e+04,7.272226074218750000e+03,2.700000000000000000e+01,8.427970147070000530e+04
2.112326562500000000e+04,7.264458007812500000e+03,2.800000000000000000e+01,8.427970350610000605e+04
2.111553515625000000e+04,7.275405273437500000e+03,2.900000000000000000e+01,8.427970546589999867e+04
2.112115820312500000e+04,7.278681152343750000e+03,3.000000000000000000e+01,8.427970731860000524e+04
2.111384765625000000e+04,7.277488769531250000e+03,3.100000000000000000e+01,8.427970931479999854e+04
2.109155664062500000e+04,7.252125976562500000e+03,3.200000000000000000e+01,8.427971156149999297e+04
2.109649414062500000e+04,7.251487792968750000e+03,3.300000000000000000e+01,8.427971323360000679e+04
2.111959179687500000e+04,7.278584472656250000e+03,3.400000000000000000e+01,8.427971433430000616e+04
2.114931445312500000e+04,7.273032714843750000e+03,3.500000000000000000e+01,8.427971651519999432e+04
2.116037109375000000e+04,7.300514648437500000e+03,3.600000000000000000e+01,8.427971845840000606e+04
2.116365820312500000e+04,7.311353515625000000e+03,3.700000000000000000e+01,8.427972043729999859e+04
