channel_1,channel_2,feedback
2.435344891195978079e+00,2.277991529995879283e+00,-2.000000000000000000e+00
1.867967497234596985e+00,1.661049353209420598e+00,-2.000000000000000000e+00
3.412953286797516750e+00,2.770740256154513581e+00,-1.000000000000000000e+00
2.228770223535247563e+00,2.139213674049619929e+00,-2.000000000000000000e+00
