channel_1,channel_2,time,timestamp
1.874956640625000000e+04,5.007985351562500000e+03,4.600000000000000000e+01,8.380446789250000438e+04
1.876828125000000000e+04,5.038357910156250000e+03,4.700000000000000000e+01,8.380446988960000454e+04
1.876937695312500000e+04,5.027410644531250000e+03,4.800000000000000000e+01,8.380447191310000198e+04
1.876574023437500000e+04,5.019907714843750000e+03,4.900000000000000000e+01,8.380447387410000374e+04
1.874456835937500000e+04,4.981599121093750000e+03,5.000000000000000000e+01,8.380447590689999925e+04
1.872809375000000000e+04,4.967701660156250000e+03,5.100000000000000000e+01,8.380447789959999500e+04
1.871556835937500000e+04,4.944217773437500000e+03,5.200000000000000000e+01,8.380447989190000226e+04
1.871996484375000000e+04,4.948119628906250000e+03,5.300000000000000000e+01,8.380448181800000020e+04
1.872167382812500000e+04,4.955429687500000000e+03,5.400000000000000000e+01,8.380448370419999992e+04
1.873631835937500000e+04,4.984850585937500000e+03,5.500000000000000000e+01,8.380448482699999295e+04
1.876221093750000000e+04,5.015849609375000000e+03,5.600000000000000000e+01,8.380448687170000630e+04
1.876410156250000000e+04,5.022039550781250000e+03,5.700000000000000000e+01,8.380448864520000643e+04
1.876742578125000000e+04,5.022123535156250000e+03,5.800000000000000000e+01,8.380448979849999887e+04
1.875475781250000000e+04,4.997134765625000000e+03,5.900000000000000000e+01,8.380449177799999597e+04
1.873890820312500000e+04,4.983634277343750000e+03,6.000000000000000000e+01,8.380449380660000315e+04
1.872578125000000000e+04,4.958199707031250000e+03,6.100000000000000000e+01,8.380449575380000169e+04
1.871718359375000000e+04,4.952755859375000000e+03,6.200000000000000000e+01,8.380449769269999524e+04
1.871649609375000000e+04,4.958801757812500000e+03,6.300000000000000000e+01,8.380449988430000667e+04
1.872583007812500000e+04,4.968881835937500000e+03,6.400000000000000000e+01,8.380450161720000324e+04
1.874218359375000000e+04,4.983658203125000000e+03,6.500000000000000000e+01,8.380450272679999762e+04
1.875422656250000000e+04,5.006467773437500000e+03,6.600000000000000000e+01,8.380450466500000039e+04
1.878369531250000000e+04,5.032131347656250000e+03,6.700000000000000000e+01,8.380450570609999704e+04
1.878717578125000000e+04,5.035864746093750000e+03,6.800000000000000000e+01,8.380450776399999449e+04
1.878666992187500000e+04,5.057036621093750000e+03,6.900000000000000000e+01,8.380450973540000268e+04
1.877880664062500000e+04,5.070584960937500000e+03,7.000000000000000000e+01,8.380451171770000656e+04
1.875298632812500000e+04,5.072909179687500000e+03,7.100000000000000000e+01,8.380451371020000079e+04
1.873476562500000000e+04,5.051906250000000000e+03,7.200000000000000000e+01,8.380451568519999273e+04
1.873877539062500000e+04,5.003445312500000000e+03,7.300000000000000000e+01,8.380451767329999711e+04
1.873446484375000000e+04,4.941724609375000000e+03,7.400000000000000000e+01,8.380451969230000395e+04
1.872897265625000000e+04,4.936028320312500000e+03,7.500000000000000000e+01,8.380452168619999429e+04
